Example,Algorithm,Runtime (s),Runtime SD,Energy (J),Energy SD
circle,pbbs_serial,61.376953,0.192186,780.569537,14.763044
circle,pbbs_multi,8.726123,0.053099,316.798909,3.082777
circle,quickhull,3.856881,0.013492,55.261186,0.652475
circle,quickhull_par,1.046004,0.010062,46.377080,0.456593
disk,pbbs_serial,3.820553,0.006115,50.385802,2.381465
disk,pbbs_multi,0.530429,0.009181,18.755566,0.239958
disk,quickhull,0.450007,0.002861,6.759377,0.152838
disk,quickhull_par,0.212727,0.004038,8.480671,0.223424
kuzmin,pbbs_serial,0.991687,0.001930,12.735235,0.056603
kuzmin,pbbs_multi,0.233665,0.000319,9.028033,0.021986
kuzmin,quickhull,0.315748,0.003832,4.598740,0.053265
kuzmin,quickhull_par,0.166998,0.003958,6.376439,0.115819
