Example,Algorithm,Runtime (s),Runtime SD,CPU1 (J),CPU1 SD,CPU2 (J),CPU2 SD
circle,pbbs_serial,54.209144,0.059699,781.965820,21.280357,1112.091405,3.841162
circle,pbbs_multi,3.267894,0.020627,250.386534,1.541336,245.127936,1.504299
circle,quickhull,6.172297,0.010590,100.665317,3.921367,156.096365,5.956415
circle,quickhull_par,0.365171,0.019683,36.373530,0.511045,35.520860,0.469994
disk,pbbs_serial,3.594461,0.008747,89.192776,2.393426,64.652976,2.939830
disk,pbbs_multi,0.190048,0.004339,15.255112,0.217579,14.973538,0.243034
disk,quickhull,0.655108,0.007848,14.703700,0.825624,20.958396,0.680197
disk,quickhull_par,0.097860,0.013490,8.302618,0.427876,8.033978,0.489382
kuzmin,pbbs_serial,0.634102,0.004532,15.829061,0.626470,22.716797,0.284301
kuzmin,pbbs_multi,0.072451,0.000132,6.368933,0.069171,6.221453,0.064857
kuzmin,quickhull,0.413889,0.016171,9.937943,1.323210,13.740308,1.003285
kuzmin,quickhull_par,0.062279,0.009789,5.540048,0.279029,5.413412,0.348486
