Example,Algorithm,Runtime (s),Runtime SD,Energy (J),Energy SD
Circle,PBBS,61.376654,0.408236,737.514777,7.808782
Circle,PBBS Par,8.722922,0.068709,300.883950,2.736187
Circle,QHull,3.877340,0.013252,52.382419,0.891365
Circle,QHull Par,1.058494,0.013153,44.502962,0.405098
Disk,PBBS,3.868777,0.003731,46.824884,0.674677
Disk,PBBS Par,0.533039,0.011421,18.219621,0.304143
Disk,QHull,0.449559,0.002753,6.348338,0.069076
Disk,QHull Par,0.213420,0.003449,8.091187,0.283785
Kuzmin,PBBS,0.988532,0.010094,11.936344,0.168865
Kuzmin,PBBS Par,0.238860,0.002420,8.959343,0.154442
Kuzmin,QHull,0.317819,0.003869,4.413535,0.035408
Kuzmin,QHull Par,0.167606,0.002774,6.176975,0.071792
